group,item,price,station,confirm
Beer,Bud Royale,2000,bar,
Beer,Legend Twist,1400,bar,
Beer,Life,1400,bar,
Beer,Hero,1400,bar,
Beer,Trophy,1400,bar,
Beer,Castle Lite,1400,bar,
Beer,Flying Fish,1400,bar,
Beer,Smirnoff Ice,1400,bar,
Beer,Star Radler,1400,bar,
Beer,33 Export,1400,bar,
Beer,Tiger,1400,bar,
Beer,Star,1400,bar,
Beer,Orijin Beer,1400,bar,
Beer,Gulder,1400,bar,
Beer,Desperados,1500,bar,
Beer,Legend Stout,1500,bar,
Beer,Budweiser,1800,bar,
Beer,Trophy Stout,1800,bar,
Beer,Medium Stout,1800,bar,
Beer,Heineken Big,1800,bar,
Beer,Heineken Medium,1800,bar,
Cream,Amarula,30000,bar,
Cream,Baileys,30000,bar,
Energy,Odogwu Malay,1300,bar,
Energy,Climax,1500,bar,
Energy,Fearless,1500,bar,
Energy,Red Bull,3000,bar,
Energy,Monster,3000,bar,
Bitters,Orijin Bitters,2000,bar,
Bitters,UNREADABLE BITTERS,2000,bar,CONFIRM NAME - crossed out on the board
Bitters,Campari,40000,bar,
Wine,Silk & Spice,25000,bar,
Wine,Portell,25000,bar,
Wine,Four Cousins,20000,bar,
Champagne,J&W (non-alcoholic),5000,bar,
Champagne,Andre,30000,bar,
Champagne,Portell Ice,30000,bar,
Champagne,Belaire Rose,90000,bar,
Champagne,Moet Chandon Brut,150000,bar,
Champagne,Moet Chandon Rose,180000,bar,
Champagne,Dom Perignon,600000,bar,
Soft,V. Smartic,4500,bar,CONFIRM NAME - handwritten
Soft,Water,500,bar,
Soft,Malt,1000,bar,
Soft,Fayrouz,1000,bar,
Soft,Coke,1000,bar,
Soft,Exotic,3500,bar,
Soft,Hollandia,4000,bar,
Others,Strong (small),2500,bar,
Others,Strong Zero (big),3500,bar,CONFIRM PRICE - question mark on the board
Others,Black Bullet,3000,bar,
Spirits,Smirnoff Vodka,20000,bar,
Spirits,Absolut Vodka,35000,bar,
Spirits,Red Label,40000,bar,
Spirits,Jameson Green,45000,bar,
Spirits,Jameson Black,60000,bar,
Spirits,Blue Label,500000,bar,
Spirits,Remy Martin VSOP,140000,bar,
Spirits,Martell Blue Swift,80000,bar,
Spirits,Hennessy VS,100000,bar,
Spirits,Hennessy VSOP,150000,bar,
Spirits,Hennessy XO,600000,bar,
Spirits,Glenfiddich 12,120000,bar,
Spirits,Glenfiddich 15,100000,bar,CONFIRM PRICE - reads lower than the 12
Spirits,Glenfiddich 18,180000,bar,
Spirits,Glenfiddich 21,600000,bar,
Foods,Chicken & Chips,5000,,
Foods,Chicken Sauce,5000,,
Foods,Gizzard,2600,,CONFIRM PRICE
Foods,Indomie & Egg,3000,,
Foods,Peppered Chicken,5000,,
Foods,Chicken Pepper Soup,4600,,CONFIRM PRICE - written over
Foods,Catfish Pepper Soup,3000,,
Foods,Peppered Beef,2500,,
Foods,Goat Meat Pepper Soup,2500,,
Foods,Peppered Goat Meat,2500,,
Foods,Nkwobi,5000,,CONFIRM PRICE - written over
Foods,Goat Head (Isi Ewu),15000,,
